date,game_name,event,domain,language,instances,visits,users
7/5/2025,Shape Circle,validation,CG,mr,924,725,690
7/5/2025,Shape Triangle,completed,CG,hi,189,146,141
7/5/2025,Shape Triangle,completed,CG,mr,562,394,383
7/5/2025,Shape Triangle,introduction,CG,hi,243,187,179
7/5/2025,Shape Triangle,introduction,CG,mr,648,444,427
7/5/2025,Shape Triangle,mid_introduction,CG,hi,149,130,126
7/5/2025,Shape Triangle,mid_introduction,CG,mr,420,362,355
7/5/2025,Shape Triangle,parent_poll,CG,hi,74,68,65
7/5/2025,Shape Triangle,parent_poll,CG,mr,252,229,225
7/5/2025,Shape Triangle,questions,CG,hi,175,147,143
7/5/2025,Shape Triangle,questions,CG,mr,490,391,380
7/5/2025,Shape Triangle,rewards,CG,hi,142,124,120
7/5/2025,Shape Triangle,rewards,CG,mr,407,352,346
7/5/2025,Shape Triangle,started,CG,hi,263,200,188
7/5/2025,Shape Triangle,started,CG,mr,688,462,445
7/5/2025,Shape Triangle,validation,CG,hi,141,123,119
7/5/2025,Shape Triangle,validation,CG,mr,414,359,353
7/6/2025,Color Red,completed,CG,hi,273,244,231
7/6/2025,Color Red,completed,CG,mr,425,334,327
7/6/2025,Color Red,introduction,CG,hi,381,325,317
7/6/2025,Color Red,introduction,CG,mr,619,467,486
7/6/2025,Color Red,mid_introduction,CG,hi,245,231,229
7/6/2025,Color Red,mid_introduction,CG,mr,352,304,311
7/6/2025,Color Red,parent_poll,CG,hi,98,96,93
7/6/2025,Color Red,parent_poll,CG,mr,138,128,128
7/6/2025,Color Red,questions,CG,hi,276,254,251
7/6/2025,Color Red,questions,CG,mr,400,341,346
7/6/2025,Color Red,rewards,CG,hi,225,211,204
7/6/2025,Color Red,rewards,CG,mr,322,275,274
7/6/2025,Color Red,started,CG,hi,500,420,418
7/6/2025,Color Red,started,CG,mr,788,607,651
7/6/2025,Color Red,validation,CG,hi,235,222,219
7/6/2025,Color Red,validation,CG,mr,344,298,305
7/6/2025,Color Yellow,completed,CG,hi,47,40,37
7/6/2025,Color Yellow,completed,CG,mr,126,94,87
7/6/2025,Color Yellow,introduction,CG,hi,67,53,47
7/6/2025,Color Yellow,introduction,CG,mr,125,93,87
7/6/2025,Color Yellow,mid_introduction,CG,hi,32,32,31
7/6/2025,Color Yellow,parent_poll,CG,hi,13,13,12
7/6/2025,Color Yellow,questions,CG,hi,42,39,38
7/6/2025,Color Yellow,rewards,CG,hi,28,28,27
7/6/2025,Color Yellow,started,CG,hi,69,55,49
7/6/2025,Color Yellow,started,CG,mr,180,124,110
7/6/2025,Color Yellow,validation,CG,hi,31,31,30
7/6/2025,Shape Circle,completed,CG,hi,213,157,147
7/6/2025,Shape Circle,completed,CG,mr,405,283,246
7/6/2025,Shape Circle,introduction,CG,hi,266,192,184
7/6/2025,Shape Circle,introduction,CG,mr,496,315,268
7/6/2025,Shape Circle,mid_introduction,CG,hi,146,120,116
7/6/2025,Shape Circle,mid_introduction,CG,mr,315,259,229
7/6/2025,Shape Circle,parent_poll,CG,hi,53,50,50
7/6/2025,Shape Circle,parent_poll,CG,mr,167,150,139
7/6/2025,Shape Circle,questions,CG,hi,195,149,144
7/6/2025,Shape Circle,questions,CG,mr,369,283,247
7/6/2025,Shape Circle,rewards,CG,hi,142,114,108
7/6/2025,Shape Circle,rewards,CG,mr,301,248,221
7/6/2025,Shape Circle,started,CG,hi,300,213,206
7/6/2025,Shape Circle,started,CG,mr,526,328,278
7/6/2025,Shape Circle,validation,CG,hi,144,119,115
7/6/2025,Shape Circle,validation,CG,mr,308,254,225
7/6/2025,Shape Triangle,completed,CG,hi,78,70,65
7/6/2025,Shape Triangle,completed,CG,mr,226,172,161
7/6/2025,Shape Triangle,introduction,CG,hi,112,95,85
7/6/2025,Shape Triangle,introduction,CG,mr,270,193,176
7/6/2025,Shape Triangle,mid_introduction,CG,hi,64,61,57
7/6/2025,Shape Triangle,mid_introduction,CG,mr,176,159,146
7/6/2025,Shape Triangle,parent_poll,CG,hi,32,31,29
7/6/2025,Shape Triangle,parent_poll,CG,mr,121,115,108
7/6/2025,Shape Triangle,questions,CG,hi,76,69,64
7/6/2025,Shape Triangle,questions,CG,mr,212,176,161
7/6/2025,Shape Triangle,rewards,CG,hi,64,59,55
7/6/2025,Shape Triangle,rewards,CG,mr,167,149,139
7/6/2025,Shape Triangle,started,CG,hi,120,98,87
7/6/2025,Shape Triangle,started,CG,mr,292,201,181
7/6/2025,Shape Triangle,validation,CG,hi,62,60,57
7/6/2025,Shape Triangle,validation,CG,mr,173,156,145
7/7/2025,Color Red,completed,CG,hi,828,730,739
7/7/2025,Color Red,completed,CG,mr,1602,1276,1327
7/7/2025,Color Red,introduction,CG,hi,1212,1043,1107
7/7/2025,Color Red,introduction,CG,mr,2266,1777,1976
7/7/2025,Color Red,mid_introduction,CG,hi,777,736,749
7/7/2025,Color Red,mid_introduction,CG,mr,1429,1262,1347
7/7/2025,Color Red,parent_poll,CG,hi,308,306,306
7/7/2025,Color Red,parent_poll,CG,mr,631,570,598
7/7/2025,Color Red,questions,CG,hi,842,780,802
7/7/2025,Color Red,questions,CG,mr,1619,1387,1489
7/7/2025,Color Red,rewards,CG,hi,663,623,625
7/7/2025,Color Red,rewards,CG,mr,1254,1098,1127
7/7/2025,Color Red,started,CG,hi,1569,1332,1428
7/7/2025,Color Red,started,CG,mr,2963,2340,2616
7/7/2025,Color Red,validation,CG,hi,761,721,734
7/7/2025,Color Red,validation,CG,mr,1377,1215,1297
7/7/2025,Color Yellow,completed,CG,hi,151,125,124
7/7/2025,Color Yellow,completed,CG,mr,419,322,309
7/7/2025,Color Yellow,introduction,CG,hi,175,137,134
7/7/2025,Color Yellow,introduction,CG,mr,422,324,311
7/7/2025,Color Yellow,mid_introduction,CG,hi,114,108,108
7/7/2025,Color Yellow,parent_poll,CG,hi,64,62,62
7/7/2025,Color Yellow,questions,CG,hi,127,118,118
7/7/2025,Color Yellow,rewards,CG,hi,111,105,105
7/7/2025,Color Yellow,started,CG,hi,190,146,142
7/7/2025,Color Yellow,started,CG,mr,599,448,426
7/7/2025,Color Yellow,validation,CG,hi,110,105,105
7/7/2025,Shape Circle,completed,CG,hi,620,485,477
7/7/2025,Shape Circle,completed,CG,mr,1502,1045,1024
7/7/2025,Shape Circle,introduction,CG,hi,769,596,582
7/7/2025,Shape Circle,introduction,CG,mr,1788,1207,1180
7/7/2025,Shape Circle,mid_introduction,CG,hi,440,387,382
7/7/2025,Shape Circle,mid_introduction,CG,mr,1165,939,926
7/7/2025,Shape Circle,parent_poll,CG,hi,196,181,179
7/7/2025,Shape Circle,parent_poll,CG,mr,640,553,549
7/7/2025,Shape Circle,questions,CG,hi,587,479,473
7/7/2025,Shape Circle,questions,CG,mr,1397,1036,1018
7/7/2025,Shape Circle,rewards,CG,hi,425,365,362
7/7/2025,Shape Circle,rewards,CG,mr,1108,895,882
7/7/2025,Shape Circle,started,CG,hi,830,637,621
7/7/2025,Shape Circle,started,CG,mr,1914,1255,1225
7/7/2025,Shape Circle,validation,CG,hi,422,372,370
7/7/2025,Shape Circle,validation,CG,mr,1140,931,919
7/7/2025,Shape Triangle,completed,CG,hi,328,259,254
7/7/2025,Shape Triangle,completed,CG,mr,822,609,597
7/7/2025,Shape Triangle,introduction,CG,hi,389,297,293
7/7/2025,Shape Triangle,introduction,CG,mr,968,703,684
7/7/2025,Shape Triangle,mid_introduction,CG,hi,253,227,224
7/7/2025,Shape Triangle,mid_introduction,CG,mr,619,546,538
7/7/2025,Shape Triangle,parent_poll,CG,hi,142,136,136
7/7/2025,Shape Triangle,parent_poll,CG,mr,416,379,373
7/7/2025,Shape Triangle,questions,CG,hi,304,257,254
7/7/2025,Shape Triangle,questions,CG,mr,716,593,580
7/7/2025,Shape Triangle,rewards,CG,hi,253,227,224
7/7/2025,Shape Triangle,rewards,CG,mr,608,532,523
7/7/2025,Shape Triangle,started,CG,hi,404,308,302
7/7/2025,Shape Triangle,started,CG,mr,1026,731,704
7/7/2025,Shape Triangle,validation,CG,hi,250,226,223
7/7/2025,Shape Triangle,validation,CG,mr,601,529,522
7/8/2025,Color Red,completed,CG,hi,294,253,253
7/8/2025,Color Red,completed,CG,mr,620,483,470
7/8/2025,Color Red,introduction,CG,hi,427,365,370
7/8/2025,Color Red,introduction,CG,mr,875,666,683
7/8/2025,Color Red,mid_introduction,CG,hi,247,236,233
7/8/2025,Color Red,mid_introduction,CG,mr,479,416,416
7/8/2025,Color Red,parent_poll,CG,hi,77,72,71
7/8/2025,Color Red,parent_poll,CG,mr,186,177,175
7/8/2025,Color Red,questions,CG,hi,284,258,258
7/8/2025,Color Red,questions,CG,mr,564,468,469
7/8/2025,Color Red,rewards,CG,hi,219,207,204
7/8/2025,Color Red,rewards,CG,mr,435,374,364
7/8/2025,Color Red,started,CG,hi,562,481,494
7/8/2025,Color Red,started,CG,mr,1098,860,897
7/8/2025,Color Red,validation,CG,hi,234,224,222
7/8/2025,Color Red,validation,CG,mr,469,407,406
7/8/2025,Color Yellow,completed,CG,hi,80,68,66
7/8/2025,Color Yellow,completed,CG,mr,248,180,166
7/8/2025,Color Yellow,introduction,CG,hi,99,83,78
7/8/2025,Color Yellow,introduction,CG,mr,248,180,166
7/8/2025,Color Yellow,mid_introduction,CG,hi,62,55,53
7/8/2025,Color Yellow,parent_poll,CG,hi,32,30,30
7/8/2025,Color Yellow,questions,CG,hi,75,63,61
7/8/2025,Color Yellow,rewards,CG,hi,61,53,51
7/8/2025,Color Yellow,started,CG,hi,105,87,81
7/8/2025,Color Yellow,started,CG,mr,335,237,214
7/8/2025,Color Yellow,validation,CG,hi,60,53,51
7/8/2025,Quantitative Comparison,completed,NM,hi,3,2,2
7/8/2025,Quantitative Comparison,introduction,NM,hi,2,2,2
7/8/2025,Quantitative Comparison,mid_introduction,NM,hi,1,1,1
7/8/2025,Quantitative Comparison,questions,NM,hi,1,1,1
7/8/2025,Quantitative Comparison,started,NM,hi,4,2,2
7/8/2025,Shape Circle,completed,CG,hi,289,228,217
7/8/2025,Shape Circle,completed,CG,mr,656,438,387
7/8/2025,Shape Circle,introduction,CG,hi,356,270,255
7/8/2025,Shape Circle,introduction,CG,mr,809,518,446
7/8/2025,Shape Circle,mid_introduction,CG,hi,212,181,171
7/8/2025,Shape Circle,mid_introduction,CG,mr,488,384,346
7/8/2025,Shape Circle,parent_poll,CG,hi,76,71,69
7/8/2025,Shape Circle,parent_poll,CG,mr,231,201,187
7/8/2025,Shape Circle,questions,CG,hi,270,216,204
7/8/2025,Shape Circle,questions,CG,mr,603,429,385
7/8/2025,Shape Circle,rewards,CG,hi,205,176,168
7/8/2025,Shape Circle,rewards,CG,mr,466,360,324
7/8/2025,Shape Circle,started,CG,hi,379,283,268
7/8/2025,Shape Circle,started,CG,mr,856,541,465
7/8/2025,Shape Circle,validation,CG,hi,208,178,168
7/8/2025,Shape Circle,validation,CG,mr,470,373,338
7/8/2025,Shape Triangle,completed,CG,hi,136,118,111
7/8/2025,Shape Triangle,completed,CG,mr,371,280,244
7/8/2025,Shape Triangle,introduction,CG,hi,165,140,132
7/8/2025,Shape Triangle,introduction,CG,mr,432,310,271
7/8/2025,Shape Triangle,mid_introduction,CG,hi,111,105,98
7/8/2025,Shape Triangle,mid_introduction,CG,mr,279,242,218
7/8/2025,Shape Triangle,parent_poll,CG,hi,60,55,52
7/8/2025,Shape Triangle,parent_poll,CG,mr,186,169,155
7/8/2025,Shape Triangle,questions,CG,hi,128,116,109
7/8/2025,Shape Triangle,questions,CG,mr,329,264,236
7/8/2025,Shape Triangle,rewards,CG,hi,105,100,93
7/8/2025,Shape Triangle,rewards,CG,mr,269,237,214
7/8/2025,Shape Triangle,started,CG,hi,170,143,135
7/8/2025,Shape Triangle,started,CG,mr,451,315,275
7/8/2025,Shape Triangle,validation,CG,hi,107,102,95
7/8/2025,Shape Triangle,validation,CG,mr,271,239,215
7/9/2025,Color Red,completed,CG,hi,226,196,190
7/9/2025,Color Red,completed,CG,mr,765,597,569
7/9/2025,Color Red,introduction,CG,hi,291,247,240
7/9/2025,Color Red,introduction,CG,mr,925,703,674
7/9/2025,Color Red,mid_introduction,CG,hi,190,173,171
7/9/2025,Color Red,mid_introduction,CG,mr,602,513,497
7/9/2025,Color Red,parent_poll,CG,hi,60,58,57
7/9/2025,Color Red,parent_poll,CG,mr,284,266,259
7/9/2025,Color Red,questions,CG,hi,218,193,190
7/9/2025,Color Red,questions,CG,mr,712,579,558
7/9/2025,Color Red,rewards,CG,hi,175,158,155
7/9/2025,Color Red,rewards,CG,mr,582,493,472
7/9/2025,Color Red,started,CG,hi,334,283,277
7/9/2025,Color Red,started,CG,mr,1010,755,726
7/9/2025,Color Red,validation,CG,hi,179,163,161
7/9/2025,Color Red,validation,CG,mr,590,502,486
7/9/2025,Color Yellow,completed,CG,hi,260,213,207
7/9/2025,Color Yellow,completed,CG,mr,696,520,488
7/9/2025,Color Yellow,introduction,CG,hi,307,243,232
7/9/2025,Color Yellow,introduction,CG,mr,696,521,488
7/9/2025,Color Yellow,mid_introduction,CG,hi,198,181,179
7/9/2025,Color Yellow,parent_poll,CG,hi,98,92,92
7/9/2025,Color Yellow,questions,CG,hi,230,203,200
7/9/2025,Color Yellow,rewards,CG,hi,193,176,173
7/9/2025,Color Yellow,started,CG,hi,331,254,242
7/9/2025,Color Yellow,started,CG,mr,989,697,637
7/9/2025,Color Yellow,validation,CG,hi,197,180,177
7/9/2025,Quantitative Comparison,completed,NM,hi,1,1,1
7/9/2025,Quantitative Comparison,introduction,NM,hi,1,1,1
7/9/2025,Quantitative Comparison,mid_introduction,NM,hi,1,1,1
7/9/2025,Quantitative Comparison,parent_poll,NM,hi,1,1,1
7/9/2025,Quantitative Comparison,questions,NM,hi,1,1,1
7/9/2025,Quantitative Comparison,rewards,NM,hi,1,1,1
7/9/2025,Quantitative Comparison,started,NM,hi,3,2,2
7/9/2025,Quantitative Comparison,validation,NM,hi,1,1,1
7/9/2025,Relational Comparison,completed,CG,hi,1,1,1
7/9/2025,Relational Comparison,introduction,CG,hi,1,1,1
7/9/2025,Relational Comparison,mid_introduction,CG,hi,1,1,1
7/9/2025,Relational Comparison,parent_poll,CG,hi,1,1,1
7/9/2025,Relational Comparison,questions,CG,hi,1,1,1
7/9/2025,Relational Comparison,rewards,CG,hi,1,1,1
7/9/2025,Relational Comparison,started,CG,hi,1,1,1
7/9/2025,Relational Comparison,validation,CG,hi,1,1,1
7/9/2025,Shape Circle,completed,CG,hi,411,315,301
7/9/2025,Shape Circle,completed,CG,mr,1392,940,880
7/9/2025,Shape Circle,introduction,CG,hi,522,379,361
7/9/2025,Shape Circle,introduction,CG,mr,1652,1070,988
7/9/2025,Shape Circle,mid_introduction,CG,hi,312,264,252
7/9/2025,Shape Circle,mid_introduction,CG,mr,1034,813,772
7/9/2025,Shape Circle,parent_poll,CG,hi,133,124,119
7/9/2025,Shape Circle,parent_poll,CG,mr,531,460,448
7/9/2025,Shape Circle,questions,CG,hi,397,313,298
7/9/2025,Shape Circle,questions,CG,mr,1238,887,833
7/9/2025,Shape Circle,rewards,CG,hi,302,252,241
7/9/2025,Shape Circle,rewards,CG,mr,996,776,741
7/9/2025,Shape Circle,started,CG,hi,563,405,385
7/9/2025,Shape Circle,started,CG,mr,1755,1104,1015
7/9/2025,Shape Circle,validation,CG,hi,299,255,244
7/9/2025,Shape Circle,validation,CG,mr,1014,804,766
7/9/2025,Shape Triangle,completed,CG,hi,737,689,691
7/9/2025,Shape Triangle,completed,CG,mr,1575,1338,1326
7/9/2025,Shape Triangle,introduction,CG,hi,1138,1031,1055
7/9/2025,Shape Triangle,introduction,CG,mr,2205,1811,1889
7/9/2025,Shape Triangle,mid_introduction,CG,hi,732,710,717
7/9/2025,Shape Triangle,mid_introduction,CG,mr,1407,1293,1315
7/9/2025,Shape Triangle,parent_poll,CG,hi,300,292,294
7/9/2025,Shape Triangle,parent_poll,CG,mr,673,641,642
7/9/2025,Shape Triangle,questions,CG,hi,816,774,783
7/9/2025,Shape Triangle,questions,CG,mr,1551,1392,1415
7/9/2025,Shape Triangle,rewards,CG,hi,663,640,639
7/9/2025,Shape Triangle,rewards,CG,mr,1279,1178,1177
7/9/2025,Shape Triangle,started,CG,hi,1408,1262,1302
7/9/2025,Shape Triangle,started,CG,mr,2899,2391,2519
7/9/2025,Shape Triangle,validation,CG,hi,702,682,687
7/9/2025,Shape Triangle,validation,CG,mr,1373,1267,1288
7/10/2025,Color Red,completed,CG,hi,106,88,87
7/10/2025,Color Red,completed,CG,mr,268,222,213
7/10/2025,Color Red,introduction,CG,hi,138,108,106
7/10/2025,Color Red,introduction,CG,mr,342,263,250
7/10/2025,Color Red,mid_introduction,CG,hi,85,76,77
7/10/2025,Color Red,mid_introduction,CG,mr,222,197,191
7/10/2025,Color Red,parent_poll,CG,hi,35,34,34
7/10/2025,Color Red,parent_poll,CG,mr,104,100,98
7/10/2025,Color Red,questions,CG,hi,96,84,84
7/10/2025,Color Red,questions,CG,mr,269,222,214
7/10/2025,Color Red,rewards,CG,hi,88,78,77
7/10/2025,Color Red,rewards,CG,mr,219,190,182
7/10/2025,Color Red,started,CG,hi,157,120,119
7/10/2025,Color Red,started,CG,mr,380,292,279
7/10/2025,Color Red,validation,CG,hi,85,76,77
7/10/2025,Color Red,validation,CG,mr,217,193,187
7/10/2025,Color Yellow,completed,CG,hi,94,73,71
7/10/2025,Color Yellow,completed,CG,mr,226,180,167
7/10/2025,Color Yellow,introduction,CG,hi,112,84,79
7/10/2025,Color Yellow,introduction,CG,mr,225,179,166
7/10/2025,Color Yellow,mid_introduction,CG,hi,73,66,63
7/10/2025,Color Yellow,parent_poll,CG,hi,33,32,32
7/10/2025,Color Yellow,questions,CG,hi,90,77,73
7/10/2025,Color Yellow,rewards,CG,hi,71,63,61
7/10/2025,Color Yellow,started,CG,hi,123,92,87
7/10/2025,Color Yellow,started,CG,mr,302,234,217
7/10/2025,Color Yellow,validation,CG,hi,70,63,61
7/10/2025,Shape Circle,completed,CG,hi,176,136,131
7/10/2025,Shape Circle,completed,CG,mr,470,334,301
7/10/2025,Shape Circle,introduction,CG,hi,229,174,161
7/10/2025,Shape Circle,introduction,CG,mr,597,401,353
7/10/2025,Shape Circle,mid_introduction,CG,hi,129,113,110
7/10/2025,Shape Circle,mid_introduction,CG,mr,367,293,266
7/10/2025,Shape Circle,parent_poll,CG,hi,48,46,46
7/10/2025,Shape Circle,parent_poll,CG,mr,171,144,136
