period_label,game_name,instance_count,period_type
2025-10-13,Shape Triangle,49,Daily
2025-10-14,Shape Triangle,53,Daily
2025-10-15,Shape Triangle,140,Daily
2025-10-16,Shape Triangle,143,Daily
2025-10-17,Shape Triangle,207,Daily
2025-10-18,Shape Triangle,170,Daily
2025-10-19,Shape Triangle,105,Daily
2025-10-20,Shape Triangle,116,Daily
2025-10-21,Shape Triangle,121,Daily
2025-10-22,Shape Triangle,150,Daily
2025-10-23,Shape Triangle,94,Daily
2025-10-24,Shape Triangle,155,Daily
2025-10-25,Shape Triangle,148,Daily
2025-10-26,Shape Triangle,77,Daily
2025-10-27,Shape Triangle,126,Daily
2025-10-28,Shape Triangle,85,Daily
2025-10-29,Shape Triangle,141,Daily
2025-10-30,Shape Triangle,120,Daily
2025-10-31,Shape Triangle,146,Daily
2025-11-01,Shape Triangle,153,Daily
2025-11-02,Shape Triangle,79,Daily
2025-11-03,Shape Triangle,12,Daily
2025_26,Shape Triangle,4989,Weekly
2025_27,Shape Triangle,15489,Weekly
2025_28,Shape Triangle,3653,Weekly
2025_30,Shape Triangle,3508,Weekly
2025_31,Shape Triangle,3255,Weekly
2025_32,Shape Triangle,3704,Weekly
2025_33,Shape Triangle,3277,Weekly
2025_34,Shape Triangle,1819,Weekly
2025_35,Shape Triangle,986,Weekly
2025_36,Shape Triangle,2175,Weekly
2025_37,Shape Triangle,2253,Weekly
2025_38,Shape Triangle,1429,Weekly
2025_39,Shape Triangle,407,Weekly
2025_40,Shape Triangle,386,Weekly
2025_41,Shape Triangle,1002,Weekly
2025_42,Shape Triangle,835,Weekly
2025_43,Shape Triangle,651,Weekly
2025-07,Shape Triangle,25767,Monthly
2025-08,Shape Triangle,13335,Monthly
2025-09,Shape Triangle,7435,Monthly
2025-10,Shape Triangle,3037,Monthly
2025-11,Shape Triangle,244,Monthly
2025-07-02,Color Red,2,Daily
2025-07-05,Color Red,5371,Daily
2025-07-06,Color Red,1373,Daily
2025-07-07,Color Red,5419,Daily
2025-07-08,Color Red,1749,Daily
2025-07-09,Color Red,1845,Daily
2025-07-10,Color Red,694,Daily
2025-07-11,Color Red,1840,Daily
2025-07-12,Color Red,1815,Daily
2025-07-13,Color Red,690,Daily
2025-07-14,Color Red,1518,Daily
2025-07-15,Color Red,672,Daily
2025-07-16,Color Red,1436,Daily
2025-07-17,Color Red,724,Daily
2025-07-18,Color Red,1749,Daily
2025-07-19,Color Red,823,Daily
2025-07-20,Color Red,370,Daily
2025-07-21,Color Red,1424,Daily
2025-07-22,Color Red,317,Daily
2025-07-30,Color Red,1481,Daily
2025-07-31,Color Red,1168,Daily
2025-08-01,Color Red,1842,Daily
2025-08-02,Color Red,914,Daily
2025-08-03,Color Red,243,Daily
2025-08-04,Color Red,220,Daily
2025-08-05,Color Red,131,Daily
2025-08-06,Color Red,894,Daily
2025-08-07,Color Red,663,Daily
2025-08-08,Color Red,1344,Daily
2025-08-09,Color Red,1254,Daily
2025-08-10,Color Red,826,Daily
2025-08-11,Color Red,355,Daily
2025-08-12,Color Red,676,Daily
2025-08-13,Color Red,1254,Daily
2025-08-14,Color Red,643,Daily
2025-08-15,Color Red,1161,Daily
2025-08-16,Color Red,1402,Daily
2025-08-17,Color Red,873,Daily
2025-08-18,Color Red,1139,Daily
2025-08-19,Color Red,1156,Daily
2025-08-20,Color Red,1467,Daily
2025-08-21,Color Red,763,Daily
2025-08-22,Color Red,1263,Daily
2025-08-23,Color Red,1553,Daily
2025-08-24,Color Red,902,Daily
2025-08-25,Color Red,446,Daily
2025-08-26,Color Red,328,Daily
2025-08-27,Color Red,784,Daily
2025-08-28,Color Red,540,Daily
2025-08-29,Color Red,622,Daily
2025-08-30,Color Red,560,Daily
2025-08-31,Color Red,377,Daily
2025-09-01,Color Red,807,Daily
2025-09-02,Color Red,527,Daily
2025-09-03,Color Red,540,Daily
2025-09-04,Color Red,439,Daily
2025-09-05,Color Red,839,Daily
2025-09-06,Color Red,443,Daily
2025-09-07,Color Red,101,Daily
2025-09-08,Color Red,394,Daily
2025-09-09,Color Red,613,Daily
2025-09-10,Color Red,841,Daily
2025-09-11,Color Red,887,Daily
2025-09-12,Color Red,1133,Daily
2025-09-13,Color Red,1008,Daily
2025-09-14,Color Red,1018,Daily
2025-09-15,Color Red,1245,Daily
2025-09-16,Color Red,1319,Daily
2025-09-17,Color Red,1163,Daily
2025-09-18,Color Red,793,Daily
2025-09-19,Color Red,1071,Daily
2025-09-20,Color Red,977,Daily
2025-09-21,Color Red,568,Daily
2025-09-22,Color Red,1055,Daily
2025-09-23,Color Red,718,Daily
2025-09-24,Color Red,717,Daily
2025-09-25,Color Red,627,Daily
2025-09-26,Color Red,833,Daily
2025-09-27,Color Red,708,Daily
2025-09-28,Color Red,324,Daily
2025-09-29,Color Red,506,Daily
2025-09-30,Color Red,549,Daily
2025-10-01,Color Red,159,Daily
2025-10-02,Color Red,114,Daily
2025-10-03,Color Red,152,Daily
2025-10-04,Color Red,155,Daily
2025-10-05,Color Red,99,Daily
2025-10-06,Color Red,94,Daily
2025-10-07,Color Red,134,Daily
2025-10-08,Color Red,169,Daily
2025-10-09,Color Red,151,Daily
2025-10-10,Color Red,176,Daily
2025-10-11,Color Red,153,Daily
2025-10-12,Color Red,99,Daily
2025-10-13,Color Red,133,Daily
2025-10-14,Color Red,149,Daily
2025-10-15,Color Red,585,Daily
2025-10-16,Color Red,419,Daily
2025-10-17,Color Red,697,Daily
2025-10-18,Color Red,622,Daily
2025-10-19,Color Red,320,Daily
2025-10-20,Color Red,419,Daily
2025-10-21,Color Red,387,Daily
2025-10-22,Color Red,495,Daily
2025-10-23,Color Red,299,Daily
2025-10-24,Color Red,563,Daily
2025-10-25,Color Red,471,Daily
2025-10-26,Color Red,300,Daily
2025-10-27,Color Red,458,Daily
2025-10-28,Color Red,331,Daily
2025-10-29,Color Red,428,Daily
2025-10-30,Color Red,295,Daily
2025-10-31,Color Red,528,Daily
2025-11-01,Color Red,542,Daily
2025-11-02,Color Red,284,Daily
2025-11-03,Color Red,35,Daily
2025_26,Color Red,13914,Weekly
2025_27,Color Red,9074,Weekly
2025_28,Color Red,6843,Weekly
2025_30,Color Red,5999,Weekly
2025_31,Color Red,6012,Weekly
2025_32,Color Red,7628,Weekly
2025_33,Color Red,6722,Weekly
2025_34,Color Red,4217,Weekly
2025_35,Color Red,3369,Weekly
2025_36,Color Red,7451,Weekly
2025_37,Color Red,6345,Weekly
2025_38,Color Red,4264,Weekly
2025_39,Color Red,907,Weekly
2025_40,Color Red,1030,Weekly
2025_41,Color Red,3449,Weekly
2025_42,Color Red,2917,Weekly
2025_43,Color Red,2112,Weekly
2025-07,Color Red,32480,Monthly
2025-08,Color Red,26595,Monthly
2025-09,Color Red,22763,Monthly
2025-10,Color Red,9554,Monthly
2025-11,Color Red,861,Monthly
2025-07-02,Color Yellow,1,Daily
2025-07-03,Color Yellow,1,Daily
2025-07-05,Color Yellow,374,Daily
2025-07-06,Color Yellow,207,Daily
2025-07-07,Color Yellow,702,Daily
2025-07-08,Color Yellow,388,Daily
2025-07-09,Color Yellow,1169,Daily
2025-07-10,Color Yellow,392,Daily
2025-07-11,Color Yellow,2047,Daily
2025-07-12,Color Yellow,5087,Daily
2025-07-13,Color Yellow,1353,Daily
2025-07-14,Color Yellow,3924,Daily
2025-07-15,Color Yellow,1374,Daily
2025-07-16,Color Yellow,821,Daily
2025-07-17,Color Yellow,378,Daily
2025-07-18,Color Yellow,732,Daily
2025-07-19,Color Yellow,327,Daily
2025-07-20,Color Yellow,211,Daily
2025-07-21,Color Yellow,617,Daily
2025-07-22,Color Yellow,175,Daily
2025-07-30,Color Yellow,515,Daily
2025-07-31,Color Yellow,491,Daily
2025-08-01,Color Yellow,694,Daily
2025-08-02,Color Yellow,369,Daily
2025-08-03,Color Yellow,95,Daily
2025-08-04,Color Yellow,70,Daily
2025-08-05,Color Yellow,54,Daily
2025-08-06,Color Yellow,359,Daily
2025-08-07,Color Yellow,294,Daily
2025-08-08,Color Yellow,471,Daily
2025-08-09,Color Yellow,518,Daily
2025-08-10,Color Yellow,402,Daily
2025-08-11,Color Yellow,158,Daily
2025-08-12,Color Yellow,289,Daily
2025-08-13,Color Yellow,439,Daily
2025-08-14,Color Yellow,243,Daily
2025-08-15,Color Yellow,377,Daily
2025-08-16,Color Yellow,417,Daily
2025-08-17,Color Yellow,277,Daily
2025-08-18,Color Yellow,346,Daily
2025-08-19,Color Yellow,350,Daily
2025-08-20,Color Yellow,476,Daily
2025-08-21,Color Yellow,279,Daily
2025-08-22,Color Yellow,421,Daily
2025-08-23,Color Yellow,486,Daily
2025-08-24,Color Yellow,345,Daily
2025-08-25,Color Yellow,193,Daily
2025-08-26,Color Yellow,121,Daily
2025-08-27,Color Yellow,208,Daily
2025-08-28,Color Yellow,187,Daily
2025-08-29,Color Yellow,171,Daily
2025-08-30,Color Yellow,161,Daily
2025-08-31,Color Yellow,122,Daily
2025-09-01,Color Yellow,263,Daily
2025-09-02,Color Yellow,165,Daily
2025-09-03,Color Yellow,70,Daily
2025-09-04,Color Yellow,93,Daily
2025-09-05,Color Yellow,114,Daily
2025-09-06,Color Yellow,96,Daily
2025-09-07,Color Yellow,17,Daily
2025-09-08,Color Yellow,42,Daily
2025-09-09,Color Yellow,97,Daily
2025-09-10,Color Yellow,150,Daily
2025-09-11,Color Yellow,212,Daily
2025-09-12,Color Yellow,204,Daily
2025-09-13,Color Yellow,221,Daily
2025-09-14,Color Yellow,165,Daily
2025-09-15,Color Yellow,236,Daily
2025-09-16,Color Yellow,208,Daily
2025-09-17,Color Yellow,242,Daily
2025-09-18,Color Yellow,188,Daily
2025-09-19,Color Yellow,267,Daily
2025-09-20,Color Yellow,180,Daily
2025-09-21,Color Yellow,156,Daily
2025-09-22,Color Yellow,230,Daily
2025-09-23,Color Yellow,161,Daily
2025-09-24,Color Yellow,173,Daily
2025-09-25,Color Yellow,112,Daily
2025-09-26,Color Yellow,168,Daily
2025-09-27,Color Yellow,171,Daily
2025-09-28,Color Yellow,96,Daily
2025-09-29,Color Yellow,100,Daily
2025-09-30,Color Yellow,110,Daily
2025-10-01,Color Yellow,61,Daily
2025-10-02,Color Yellow,33,Daily
2025-10-03,Color Yellow,31,Daily
2025-10-04,Color Yellow,41,Daily
2025-10-05,Color Yellow,33,Daily
2025-10-06,Color Yellow,31,Daily
2025-10-07,Color Yellow,37,Daily
2025-10-08,Color Yellow,54,Daily
2025-10-09,Color Yellow,50,Daily
2025-10-10,Color Yellow,71,Daily
2025-10-11,Color Yellow,48,Daily
2025-10-12,Color Yellow,47,Daily
2025-10-13,Color Yellow,40,Daily
2025-10-14,Color Yellow,39,Daily
2025-10-15,Color Yellow,109,Daily
2025-10-16,Color Yellow,90,Daily
2025-10-17,Color Yellow,128,Daily
2025-10-18,Color Yellow,102,Daily
2025-10-19,Color Yellow,61,Daily
2025-10-20,Color Yellow,80,Daily
2025-10-21,Color Yellow,82,Daily
2025-10-22,Color Yellow,94,Daily
2025-10-23,Color Yellow,79,Daily
2025-10-24,Color Yellow,101,Daily
2025-10-25,Color Yellow,85,Daily
2025-10-26,Color Yellow,54,Daily
2025-10-27,Color Yellow,62,Daily
2025-10-28,Color Yellow,66,Daily
2025-10-29,Color Yellow,91,Daily
2025-10-30,Color Yellow,61,Daily
2025-10-31,Color Yellow,91,Daily
2025-11-01,Color Yellow,89,Daily
2025-11-02,Color Yellow,69,Daily
2025-11-03,Color Yellow,9,Daily
2025_26,Color Yellow,1673,Weekly
2025_27,Color Yellow,15346,Weekly
2025_28,Color Yellow,3261,Weekly
2025_30,Color Yellow,2288,Weekly
2025_31,Color Yellow,2491,Weekly
2025_32,Color Yellow,2449,Weekly
2025_33,Color Yellow,2321,Weekly
2025_34,Color Yellow,1277,Weekly
2025_35,Color Yellow,529,Weekly
2025_36,Color Yellow,1396,Weekly
2025_37,Color Yellow,1424,Weekly
2025_38,Color Yellow,930,Weekly
2025_39,Color Yellow,267,Weekly
2025_40,Color Yellow,349,Weekly
2025_41,Color Yellow,652,Weekly
2025_42,Color Yellow,541,Weekly
2025_43,Color Yellow,410,Weekly
2025-07,Color Yellow,21286,Monthly
2025-08,Color Yellow,9392,Monthly
2025-09,Color Yellow,4707,Monthly
2025-10,Color Yellow,2052,Monthly
2025-11,Color Yellow,167,Monthly
2025-09-02,Numbers I,2,Daily
2025-09-03,Numbers I,158,Daily
2025-09-04,Numbers I,102,Daily
2025-09-05,Numbers I,236,Daily
2025-09-06,Numbers I,146,Daily
2025-09-07,Numbers I,41,Daily
2025-09-08,Numbers I,115,Daily
2025-09-09,Numbers I,186,Daily
2025-09-10,Numbers I,235,Daily
2025-09-11,Numbers I,322,Daily
2025-09-12,Numbers I,317,Daily
2025-09-13,Numbers I,314,Daily
2025-09-14,Numbers I,294,Daily
2025-09-15,Numbers I,377,Daily
2025-09-16,Numbers I,439,Daily
2025-09-17,Numbers I,392,Daily
2025-09-18,Numbers I,290,Daily
2025-09-19,Numbers I,446,Daily
2025-09-20,Numbers I,407,Daily
2025-09-21,Numbers I,271,Daily
2025-09-22,Numbers I,325,Daily
2025-09-23,Numbers I,266,Daily
2025-09-24,Numbers I,276,Daily
2025-09-25,Numbers I,238,Daily
2025-09-26,Numbers I,278,Daily
2025-09-27,Numbers I,284,Daily
2025-09-28,Numbers I,166,Daily
2025-09-29,Numbers I,204,Daily
2025-09-30,Numbers I,214,Daily
2025-10-01,Numbers I,108,Daily
2025-10-02,Numbers I,34,Daily
2025-10-03,Numbers I,57,Daily
2025-10-04,Numbers I,94,Daily
2025-10-05,Numbers I,59,Daily
2025-10-06,Numbers I,78,Daily
2025-10-07,Numbers I,79,Daily
2025-10-08,Numbers I,76,Daily
2025-10-09,Numbers I,52,Daily
2025-10-10,Numbers I,76,Daily
2025-10-11,Numbers I,44,Daily
2025-10-12,Numbers I,39,Daily
2025-10-13,Numbers I,83,Daily
2025-10-14,Numbers I,56,Daily
2025-10-15,Numbers I,170,Daily
2025-10-16,Numbers I,116,Daily
2025-10-17,Numbers I,165,Daily
2025-10-18,Numbers I,173,Daily
2025-10-19,Numbers I,99,Daily
2025-10-20,Numbers I,154,Daily
2025-10-21,Numbers I,127,Daily
2025-10-22,Numbers I,195,Daily
2025-10-23,Numbers I,113,Daily
2025-10-24,Numbers I,171,Daily
2025-10-25,Numbers I,180,Daily
2025-10-26,Numbers I,114,Daily
2025-10-27,Numbers I,157,Daily
2025-10-28,Numbers I,134,Daily
2025-10-29,Numbers I,141,Daily
2025-10-30,Numbers I,128,Daily
2025-10-31,Numbers I,188,Daily
2025-11-01,Numbers I,191,Daily
2025-11-02,Numbers I,120,Daily
2025-11-03,Numbers I,16,Daily
2025_34,Numbers I,2,Weekly
2025_35,Numbers I,984,Weekly
2025_36,Numbers I,2298,Weekly
2025_37,Numbers I,2397,Weekly
2025_38,Numbers I,1660,Weekly
2025_39,Numbers I,509,Weekly
2025_40,Numbers I,426,Weekly
2025_41,Numbers I,1004,Weekly
2025_42,Numbers I,1064,Weekly
2025_43,Numbers I,784,Weekly
2025-09,Numbers I,7341,Monthly
2025-10,Numbers I,3460,Monthly
2025-11,Numbers I,327,Monthly
2025-09-02,Numbers II,4,Daily
2025-09-03,Numbers II,92,Daily
2025-09-04,Numbers II,78,Daily
2025-09-05,Numbers II,118,Daily
2025-09-06,Numbers II,73,Daily
2025-09-07,Numbers II,33,Daily
2025-09-08,Numbers II,41,Daily
2025-09-09,Numbers II,97,Daily
2025-09-10,Numbers II,126,Daily
2025-09-11,Numbers II,153,Daily
2025-09-12,Numbers II,143,Daily
2025-09-13,Numbers II,197,Daily
2025-09-14,Numbers II,207,Daily
2025-09-15,Numbers II,199,Daily
2025-09-16,Numbers II,252,Daily
2025-09-17,Numbers II,205,Daily
2025-09-18,Numbers II,147,Daily
2025-09-19,Numbers II,206,Daily
2025-09-20,Numbers II,205,Daily
2025-09-21,Numbers II,137,Daily
2025-09-22,Numbers II,210,Daily
2025-09-23,Numbers II,130,Daily
2025-09-24,Numbers II,202,Daily
2025-09-25,Numbers II,143,Daily
2025-09-26,Numbers II,181,Daily
2025-09-27,Numbers II,174,Daily
2025-09-28,Numbers II,106,Daily
2025-09-29,Numbers II,134,Daily
2025-09-30,Numbers II,126,Daily
2025-10-01,Numbers II,65,Daily
2025-10-02,Numbers II,18,Daily
2025-10-03,Numbers II,51,Daily
2025-10-04,Numbers II,39,Daily
2025-10-05,Numbers II,27,Daily
2025-10-06,Numbers II,39,Daily
2025-10-07,Numbers II,79,Daily
2025-10-08,Numbers II,94,Daily
2025-10-09,Numbers II,50,Daily
2025-10-10,Numbers II,57,Daily
2025-10-11,Numbers II,51,Daily
2025-10-12,Numbers II,44,Daily
2025-10-13,Numbers II,64,Daily
2025-10-14,Numbers II,68,Daily
2025-10-15,Numbers II,119,Daily
2025-10-16,Numbers II,111,Daily
2025-10-17,Numbers II,120,Daily
2025-10-18,Numbers II,163,Daily
2025-10-19,Numbers II,96,Daily
2025-10-20,Numbers II,115,Daily
2025-10-21,Numbers II,110,Daily
2025-10-22,Numbers II,117,Daily
2025-10-23,Numbers II,121,Daily
2025-10-24,Numbers II,111,Daily
2025-10-25,Numbers II,118,Daily
2025-10-26,Numbers II,74,Daily
2025-10-27,Numbers II,113,Daily
2025-10-28,Numbers II,66,Daily
2025-10-29,Numbers II,96,Daily
2025-10-30,Numbers II,79,Daily
2025-10-31,Numbers II,94,Daily
2025-11-01,Numbers II,96,Daily
2025-11-02,Numbers II,60,Daily
2025-11-03,Numbers II,9,Daily
2025_34,Numbers II,4,Weekly
2025_35,Numbers II,532,Weekly
2025_36,Numbers II,1277,Weekly
2025_37,Numbers II,1240,Weekly
2025_38,Numbers II,1066,Weekly
2025_39,Numbers II,318,Weekly
2025_40,Numbers II,428,Weekly
2025_41,Numbers II,834,Weekly
2025_42,Numbers II,720,Weekly
2025_43,Numbers II,434,Weekly
2025-09,Numbers II,4119,Monthly
2025-10,Numbers II,2569,Monthly
2025-11,Numbers II,165,Monthly
